ソイ,沿い,832,832,471,-7.7798
ソウ,そう,1301,1301,17,-2.5978
ソウ,そう,1309,1309,17,-3.4799
ソウ,そう,1282,1282,17,-4.0033
ソウ,沿う,817,817,471,-7.7401
ソウイウ,そういう,1315,1315,17,-5.4403
ソウイッタ,そういった,1315,1315,468,-7.4996
ソウシタ,そうした,1315,1315,468,-7.4657
ソウダン,相談,1283,1283,42,-7.5905
ソウデスネ,そうですね,2,2,501,-7.0501
ソウデスネ,そうですね,3,3,501,-7.5380
ソウナ,そうな,1301,454,17,-7.7059
ソエ,沿え,826,826,471,-7.7343
ソギ,削ぎ,728,728,60,-7.7664
ソコ,そこ,1306,1306,290,-5.3112
ソコデ,そこで,555,555,282,-6.1276
ソシキ,組織,1283,1283,131,-7.3788
ソシテ,そして,555,555,282,-4.4152
ソソギ,注ぎ,728,728,176,-6.0303
ソソグ,注ぐ,723,723,176,-6.0392
ソソゲ,注げ,726,726,176,-5.9638
ソダチ,育ち,743,743,364,-6.2880
ソダツ,育つ,738,738,364,-6.2899
ソダテ,育て,741,741,364,-6.2622
ソツギョウ,卒業,1283,1283,364,-7.4086
ソナエ,備え,625,625,258,-7.6856
ソノ,その,1315,1315,468,-3.1111
ソノゴ,その後,1314,1314,282,-5.2429
ソノタ,その他,1306,1306,486,-6.2478
ソノママ,そのまま,1281,1281,282,-6.2399
ソモソモ,そもそも,555,555,468,-6.0368
ソリャ,そりゃ,1307,1307,420,-5.4020
ソリャ,そりゃ,555,555,420,-7.3153
ソリャア,そりゃあ,1307,1307,479,-4.7678
ソレ,それ,1306,1306,468,-3.8310
ソレカラ,それから,555,555,143,-7.3125
ソレゾレ,それぞれ,1314,1314,283,-5.8873
ソレダケ,それだけ,1282,1282,48,-7.6906
ソレデ,それで,555,555,17,-6.6394
ソレデハ,それでは,555,555,17,-7.2845
ソレデモ,それでも,555,555,282,-6.0527
ソレトモ,それとも,555,555,169,-7.2026
ソレニ,それに,555,555,132,-7.5504
ソレハ,それは,1306,261,17,-7.5655
ソレラ,それら,1306,1306,468,-6.8220
ソレン,ソ連,1294,1294,298,-6.5141
ソロソロ,そろそろ,1282,1282,17,-7.0652
ソンザイ,存在,1283,1283,182,-6.1901
ソンナ,そんな,1315,1315,161,-4.6492
ソンナニ,そんなに,1281,1281,17,-6.8806
