ヅカイ,使い,1298,1298,379,-9.1645
ヅカイ,遣い,1298,1298,4,-9.7672
ヅカイ,使い,1285,1285,379,-11.2844
ヅカマエル,捕まえる,619,619,438,-11.6332
ヅカレ,疲れ,1298,1298,161,-10.7046
ヅカレ,疲れ,1285,1285,161,-11.7460
ヅキ,づき,689,689,437,-8.7437
ヅキ,付き,1298,1298,445,-10.8048
ヅキアイ,づきあい,1298,1298,290,-11.9213
ヅク,づく,679,679,437,-8.7018
ヅクシ,づくし,1298,1298,312,-11.4167
ヅクリ,作り,1298,1298,258,-7.7354
ヅクリ,づくり,1298,1298,154,-8.1972
ヅクリ,作り,1285,1285,258,-8.2423
ヅクリ,作り,788,788,481,-8.2423
ヅクリ,造り,1298,1298,435,-9.8088
ヅクリ,造り,1285,1285,435,-11.2451
ヅクリ,造り,788,788,481,-11.2451
ヅクリニ,作りに,1298,151,17,-11.0359
ヅクリノ,作りの,1298,368,17,-11.2543
ヅクリヲ,作りを,1298,156,17,-11.1661
ヅクリヲ,づくりを,1298,156,17,-11.2954
ヅケ,付け,1298,1298,52,-7.9534
ヅケ,づけ,685,685,437,-8.7036
ヅケ,づけ,625,625,52,-9.1922
ヅケ,漬け,1298,1298,487,-9.8955
ヅケ,づけ,930,930,52,-11.1038
ヅケイ,図形,1285,1285,304,-11.2713
ヅケデ,付で,1298,149,17,-10.3823
ヅケデ,付けで,1298,149,17,-11.1170
ヅケノ,付の,1298,368,17,-11.1149
ヅケル,づける,619,619,481,-9.1975
ヅケロ,づけろ,623,623,481,-9.1733
ヅタイ,伝い,1298,1298,220,-11.9394
ヅミ,積み,1298,1298,270,-10.3787
ヅミ,積み,1285,1285,270,-10.3787
ヅメ,詰め,1298,1298,276,-10.2255
ヅラ,づら,105,105,48,-4.9595
ヅラ,ヅラ,1288,1288,56,-11.8795
ヅライ,づらい,113,113,48,-5.4750
ヅライ,辛い,19,19,48,-11.6877
ヅラウ,づらう,125,125,48,-4.0119
ヅラカレ,づらかれ,123,123,48,-3.9585
ヅラキ,づらき,115,115,48,-3.9585
ヅラク,づらく,129,129,48,-5.1384
ヅラサ,づらさ,105,1304,17,-11.3039
ヅラシ,づらし,117,117,48,-4.8007
ヅリ,釣り,1298,1298,228,-10.3150
ヅレ,連れ,1298,1298,427,-9.7694
ヅレエ,づれえ,113,113,48,-5.4750
