　,　,9,9,44,-2.4150
ナカ,中,1285,1285,282,-4.2593
「,「,6,6,352,-2.0359
フクミ,含み,1285,1285,258,-4.9689
・,・,5,5,203,-2.8303
タ,多,1285,1285,351,-5.0131
キレ,切れ,1285,1285,268,-5.0184
モノ,者,1285,1285,42,-5.0464
トキ,時,1285,1285,282,-5.0798
タチ,立ち,1285,1285,356,-5.2564
ワタシ,私,1306,1306,17,-3.6822
ナ,名,1285,1285,454,-5.3098
カズ,数,1285,1285,387,-5.3215
…,…,5,5,184,-3.1804
ミ,見,1285,1285,52,-5.3472
キリ,切り,1285,1285,60,-5.3598
コレ,これ,1306,1306,468,-3.7896
ソレ,それ,1306,1306,468,-3.8462
ムラ,村,1285,1285,489,-5.5008
コノ,この,1315,1315,468,-2.9772
ジブン,自分,1285,1285,161,-5.5146
ヒト,人,1285,1285,408,-5.5520
ト,と,164,164,282,-1.8238
メ,目,1285,1285,332,-5.5807
アソビ,遊び,1285,1285,290,-5.5994
ノ,の,368,368,408,-1.2384
ソノ,その,1315,1315,468,-3.1278
シュウ,州,1285,1285,272,-5.6796
マタ,また,555,555,468,-3.4940
キョウ,強,1285,1285,351,-5.7450
